DDT,M,S,run,event_index,n_kind_tasks,n_vars,solve_time_ms
1.5,15,1,5,0,93,684,6.4666
1.5,15,1,6,0,93,684,6.2294
1.5,15,1,7,0,93,684,6.2181
1.5,15,1,8,0,93,684,6.2346
1.5,15,1,9,0,93,684,6.183
1.5,15,3,0,0,91,716,7.4696
1.5,15,3,0,1,91,716,7.291
1.5,15,3,0,2,91,716,6.0472
1.5,15,3,1,0,91,716,6.7219
1.5,15,3,1,1,91,716,6.6509
1.5,15,3,1,2,91,716,6.2293
1.5,15,3,2,0,91,716,6.4283
1.5,15,3,2,1,91,716,6.6143
1.5,15,3,2,2,91,716,6.2493
1.5,15,3,3,0,91,716,6.4103
1.5,15,3,3,1,91,716,6.48
1.5,15,3,3,2,91,716,6.5851
1.5,15,3,4,0,91,716,6.0453
1.5,15,3,4,1,91,716,6.1481
1.5,15,3,4,2,91,716,5.9972
1.5,15,3,5,0,91,716,6.108
1.5,15,3,5,1,91,716,59.8789
1.5,15,3,5,2,91,716,6.0169
1.5,15,3,6,0,91,716,6.3955
